country,title,release_year,duration,minutes
Indonesia,Crazy Awesome Teachers,2020,102 min,102
Spain,"Live Twice, Love Once",2020,102 min,102
Nigeria,Green White Green (And All the Beautiful Colours in My Mosaic of Madness),2016,102 min,102
Turkey,Niyazi Gül Dörtnala,2015,102 min,102
Turkey,Kids on the Block,2019,102 min,102
Turkey,Eyyvah Eyyvah 3,2014,103 min,103
United States,The Main Event,2020,103 min,103
United States,Tall Girl,2019,103 min,103
United States,Class Rank,2018,103 min,103
United States,Big Stone Gap,2014,103 min,103
United States,The F**k-It List,2019,103 min,103
Turkey,Bana Masal Anlatma,2015,103 min,103
United States,The Competition,2018,103 min,103
Philippines,"Girl, Boy, Bakla, Tomboy",2013,103 min,103
United States,Hubie Halloween,2020,104 min,104
Turkey,Kocan Kadar Konus,2015,104 min,104
Nigeria,The Accidental Spy,2017,104 min,104
United States,Camera Store,2016,104 min,104
United States,Camp Cool Kids,2017,104 min,104
United States,Wine Country,2019,104 min,104
United States,Christopher Robin,2018,104 min,104
Philippines,All of You,2017,104 min,104
United States,The Meddler,2015,104 min,104
United States,The Christmas Chronicles,2018,104 min,104
United States,The Disaster Artist,2017,104 min,104
Turkey,Görümce,2016,104 min,104
India,Kanavu Variyam,2017,104 min,104
United States,Like Father,2018,104 min,104
United States,The Sleepover,2020,104 min,104
United States,The Starling,2021,104 min,104
Turkey,Kocan Kadar Konus 2: Dirilis,2016,104 min,104
Turkey,Bygones Be Bygones,2017,104 min,104
United States,Holidate,2020,105 min,105
United States,The Half Of It,2020,105 min,105
Turkey,Romantik Komedi 2: Bekarlığa Veda,2013,105 min,105
India,House Arrest,2019,105 min,105
Philippines,The Amazing Praybeyt Benjamin,2014,105 min,105
Spain,4L,2019,105 min,105
Turkey,Overnight Republic,2017,105 min,105
Turkey,Patron Mutlu Son Istiyor,2014,105 min,105
Canada,#Roxy,2018,105 min,105
United States,Results,2015,105 min,105
Spain,Zipi & Zape y la Isla del Capitan,2016,105 min,105
Turkey,Locked on You,2018,105 min,105
India,Adhugo,2018,105 min,105
Germany,Lommbock,2017,106 min,106
Nigeria,Confusion Na Wa,2013,106 min,106
United States,Rock the Kasbah,2015,106 min,106
Philippines,Must Be... Love,2013,106 min,106
Nigeria,Merry Men: The Real Yoruba Demons,2018,106 min,106
United States,Set It Up,2018,106 min,106
Nigeria,Who's the Boss,2020,106 min,106
United States,"Faith, Hope & Love",2019,106 min,106
India,Tuesdays & Fridays,2021,106 min,106
Indonesia,Too Handsome to Handle,2019,106 min,106
United States,Wish I Was Here,2014,106 min,106
Germany,Christmas Crossfire,2020,106 min,106
